Office,Office Location,Bookshelves,Category,Title,Author,Publisher,Edition,Year,Quantity,Pages,Book No
"12, Old Post Office St.",Near High Court,AKD-14,Book,Carrier laws (BARE ACT),,,,2015,,,C1/4
"12, Old Post Office St.",Near High Court,DM/1,Book,Carrier laws (BARE ACT),,,,2014,,,C1/3
"12, Old Post Office St.",Near High Court,DM/1,Book,Carrier laws (BARE ACT),,,,2013,,,C1/2
"12, Old Post Office St.",Near High Court,A.K.D-1,Book,The law of carriage of goods,H.K. Saharay,,2nd,2013,,,C1/1
"12, Old Post Office St.",Near High Court,D.D -1,Book,"The central excise act, 1944(BARE ACT)",,,,2019,,,C2/1
"12, Old Post Office St.",Near High Court,Lib-3,Book,R.K. Jains Central excise law guide,R.K. Jain,,6th,1991,,"Vol.1,2",C2/2
"12, Old Post Office St.",Near High Court,Lib-3,Book,Arhorya Sukendra law and practice of central excise,,,2nd,2002,,"Vol.1,2,3",C2/3
"12, Old Post Office St.",Near High Court,Lib-3,Book,Arvind P Datar Guide to central excise law and practice,Abishek A Rastogi,,7th,2015,,"Vol.1,2",C2/4
"12, Old Post Office St.",Near High Court,Lib-3,Book,Arvind P Datar Guide to central excise law and practice,Abishek A Rastogi,,4th,2000,,"Vol.1,2",C2/5
"12, Old Post Office St.",Near High Court,Lib-3,Book,Tarapore vala and Parikh The law of central excise,V.J. Tarapore,,3rd,1993,,,C2/6
"12, Old Post Office St.",Near High Court,Lib-3,Book,Sethi's commentaries on central excise,,,6th,1999,,Vol.2,C2/7
"12, Old Post Office St.",Near High Court,Lib-3,Book,R.K. Jains Central excise tariff,,,46th,2005,,,C2/8
"12, Old Post Office St.",Near High Court,Lib-3,Book,R.K. Jains Central excise tariff of India with service tax ready reckonar,,,,2006,,,C2/9
"12, Old Post Office St.",Near High Court,Lib-3,Book,R.K. Jains Central excise tariff of India,,,,1989,,,C2/10
"12, Old Post Office St.",Near High Court,Lib-3,Book,R.K. Jains Central excise manual with service tax,,,34th,2004,,,C2/11
